// * Amjula music theory *
// (c) Copyright 2017 Jason Colman

// Higher or lower ?

// version
1

// Music score coords:
//  +--------------------------+   0.4
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+
//  +--------------------------+   0.0
// 0.0                        4.0

stave, 0.0, 0.0, 4.0, 1 ; treble-clef, 0.2, 0.0 ; treb-c5-nat-sb, 1.5, 0 ; treb-c#5-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-c4-nat-sb, 1.5, 0 ; bass-c#4-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-c#4-sb,    1.5, 0 ; bass-c4-nat-sb,  3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-b4-nat-sb, 1.5, 0 ; bass-bb4-sb,     3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-bb4-sb,    1.5, 0 ; bass-b4-nat-sb,  3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-bb4-sb,    1.5, 0 ; bass-a#4-sb,     3.0, 0  =Same pitch
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-a4-nat-sb, 1.5, 0 ; bass-a#4-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-a#4-sb,    1.5, 0 ; bass-a4-nat-sb,  3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-ab4-sb,    1.5, 0 ; bass-g#3-sb,     3.0, 0  =Same pitch
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-g3-nat-sb, 1.5, 0 ; bass-g#3-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-g#3-sb,    1.5, 0 ; bass-g3-nat-sb,  3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-gb3-sb,    1.5, 0 ; bass-f#3-sb,     3.0, 0  =Same pitch
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-f3-nat-sb, 1.5, 0 ; bass-f#3-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-f#3-sb,    1.5, 0 ; bass-f3-nat-sb,  3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-eb3-sb,    1.5, 0 ; bass-d#3-sb,     3.0, 0  =Same pitch
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-e3-nat-sb, 1.5, 0 ; bass-eb3-sb,     3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-eb3-sb,    1.5, 0 ; bass-e3-nat-sb,  3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-db3-sb,    1.5, 0 ; bass-c#3-sb,     3.0, 0  =Same pitch
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-d3-nat-sb, 1.5, 0 ; bass-d#3-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-d#3-sb,    1.5, 0 ; bass-d3-nat-sb,  3.0, 0  =Note 2 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-c3-nat-sb, 1.5, 0 ; bass-c#3-sb,     3.0, 0  =Note 1 is lower
stave, 0.0, 0.0, 4.0, 1 ; bass-clef, 0.2, 0.0 ; bass-c#3-sb,    1.5, 0 ; bass-c3-nat-sb,  3.0, 0  =Note 2 is lower

end

